dateupdated,shoe_type,avg_price
2016-08-23T12:13:55Z,Shoe,41
2016-11-15T13:16:04Z,Sneaker,71.98
2016-11-15T13:16:04Z,Sneaker,75
2017-01-09T20:23:47Z,Shoe,110
2017-01-09T20:23:47Z,Shoe,73.89
2016-10-05T22:22:49Z,Trainer,65.99
2016-10-05T22:22:49Z,Trainer,90
2016-06-08T05:32:39Z,Oxford,85
2016-06-08T05:32:39Z,Oxford,41.99
2016-11-15T13:15:33Z,Shoe,64.79
2017-01-07T19:41:54Z,Shoe,66.36
2017-01-07T19:41:54Z,Shoe,80
2016-11-07T00:00:30Z,Shoe,229.95
2016-11-07T00:00:30Z,Shoe,160.99
2016-11-15T12:44:36Z,Shoe,106.91
2016-09-25T10:01:26Z,Sneaker,224.93
2017-01-20T18:57:27Z,Boot,192.95
2017-01-20T18:57:27Z,Boot,126.49
2016-11-07T19:13:24Z,Sneaker,34.99
2016-11-07T19:13:24Z,Sneaker,65
2017-01-12T06:13:20Z,Sneaker,45.45
2017-01-12T06:13:20Z,Sneaker,69
2016-02-21T14:34:42Z,Boot,119.99
2016-07-21T05:03:53Z,Shoe,42
2016-07-21T05:03:53Z,Shoe,70
2016-04-04T23:56:57Z,Canvas,43.19
2016-04-04T23:56:57Z,Canvas,39.24
2016-11-02T03:20:36Z,Shoe,34.95
2016-11-02T03:20:36Z,Shoe,49.81
2017-01-27T01:30:58Z,Boot,199.99
2017-01-27T01:30:58Z,Boot,209.99
2016-03-04T05:52:54Z,Boot,11.5
2016-03-15T15:06:27Z,Shoe,69.99
2016-07-26T21:53:00Z,Loafer,540
2016-11-01T09:39:35Z,Boot,259.99
2016-11-01T09:39:35Z,Boot,259.99
2017-01-12T05:26:54Z,Shoe,100
2017-01-27T01:24:05Z,Shoe,74.99
2017-01-27T01:24:05Z,Shoe,60.09
2017-01-24T18:54:03Z,Shoe,148.15
2016-08-02T04:07:56Z,Shoe,45
2016-08-02T04:07:56Z,Shoe,19.99
2016-01-26T02:53:00Z,Shoe,119.95
2016-03-22T22:49:30Z,Shoe,59
2016-06-19T11:07:09Z,Shoe,62.99
2016-11-11T09:56:26Z,Loafer,18.99
2016-02-21T14:34:37Z,Shoe,60
2016-02-21T14:34:37Z,Shoe,44.99
2016-02-21T14:34:37Z,Shoe,32.99
2016-11-15T13:18:20Z,Sneaker,69.96
2016-11-15T13:18:20Z,Sneaker,70.1
2017-01-09T19:48:08Z,Shoe,71.24
2016-06-20T14:18:16Z,Shoe,49.99
